County,Obama,McCain,pct_Obama,pct_rural,medHHinc,unemp_rate,pct_poverty,medAge2007,medAge2000,Gini_Index,pct_native
Koochiching,3649,2962,55.19588565,46,41964,7.8,13.2,NA,41.5,NA,NA
Lac Qui Parle,2160,1913,53.03216302,100,40293,4.9,10.6,NA,43.4,NA,NA
Lake,4174,2636,61.29221733,69,46506,5.3,8.5,NA,42.9,NA,NA
Lake of the Woods,971,1278,43.17474433,100,40436,6.2,11.2,NA,41.6,NA,NA
Le Sueur,6994,7636,47.80587833,64,55984,7.4,7.5,38.5,37.3,0.37,97.4243796
Lincoln,1517,1491,50.43218085,100,38112,5,12.5,35.5,43,0.41,NA
Lyon,6110,6315,49.1750503,50,47244,4.4,11.3,37.4,34,0.4,95.1960824
Mahnomen,1436,843,63.01009215,47,57355,6,6.2,NA,35.6,NA,NA
Marshall,2311,2285,50.28285466,100,35104,7.4,19,44.2,38.2,0.43,NA
Martin,4413,6053,42.16510606,100,45145,8,10.3,NA,40.5,NA,97.340529
McLeod,7505,10993,40.57195372,53,42997,4.9,10.2,36.8,41.5,0.39,96.9910928
Meeker,5379,6737,44.39584021,71,49309,6.6,9.3,39.4,38.3,0.39,98.0665487
Mille Lacs,6073,7049,46.28105472,82,43616,9.2,9.5,NA,38,NA,98.8750626
Morrison,6547,9734,40.21251766,71,45706,7.6,10.4,37.9,36.9,0.4,99.1742387
Mower,11605,7075,62.12526767,39,44721,4.6,11.4,39.5,38.9,0.43,95.1434415
Murray,2345,2320,50.26795284,100,44359,5.2,8.3,NA,42.4,NA,NA
Nicollet,9887,7968,55.37384486,28,58959,4.4,9.2,34,32.6,0.41,96.9397514
Nobles,4244,4368,49.28007431,47,42072,4.1,15,39.1,37.5,0.46,89.4467874
Norman,2129,1204,63.87638764,100,38124,5.7,13.2,NA,40.9,NA,NA
Olmsted,38711,36202,51.67460921,19,60683,4.4,8.4,36.3,35,0.42,91.5157729
Otter Tail,13856,18077,43.39084959,77,40721,6.1,11.3,43,41.1,0.42,97.5206612
Pennington,3394,3248,51.09906655,32,41785,7.2,11.3,NA,37.9,NA,NA
Pine,7084,6862,50.79592715,89,43809,8.6,12.3,39.2,38.4,0.4,98.412755
Pipestone,2021,2652,43.24844853,58,36411,4.4,11.5,NA,40.2,NA,NA
Polk,7849,7148,52.33713409,51,43188,5,15.7,39.7,38.2,0.4,98.0867471
Pope,3317,3068,51.94988254,100,43090,5.3,9.1,NA,42.1,NA,NA
Ramsey,182972,88942,67.29039329,0,51803,5.3,13.5,36.8,33.7,0.45,88.8382007
Red Lake,1119,983,53.23501427,100,40008,8.2,11.1,NA,40.4,NA,NA
Redwood,3250,4308,43.00079386,69,46177,5.5,9,NA,39.5,NA,NA
Renville,3904,3956,49.6692112,100,45115,5.9,9.5,NA,39.7,NA,NA
Rice,17381,13723,55.88027263,31,55431,5.9,7.7,33,32.9,0.37,94.753489
Rock,2078,2773,42.83652855,54,45382,3.9,8.8,NA,39.9,NA,NA
Roseau,3096,4437,41.09916368,83,48376,5,8.2,NA,35.3,NA,NA
